Department Name,Date,Number of Sales
Musical Instruments,2023-12-06,1976
Clothing,2023-05-01,1609
Art & Crafts,2023-12-11,3262
Cell Phones,2023-01-13,170
Travel,2023-08-06,1272
Musical Instruments,2023-02-10,1021
Pharmacy,2023-09-16,4345
Tools & Hardware,2023-01-23,4759
Garden & Outdoor,2023-07-02,1794
Health & Beauty,2023-03-14,3705
Video Games,2023-02-05,740
Clothing,2023-01-29,2108
Food & Beverage,2023-07-19,3433
Computer & Tablets,2023-01-19,207
Pet Supplies,2023-07-22,4666
Furniture,2023-11-24,4714
Automotive,2023-12-18,3451
Musical Instruments,2023-10-23,2201
Pharmacy,2023-06-05,1233
Toys,2023-04-27,1148
Movies & TV,2023-09-26,2197
Shoes,2023-02-17,4213
Appliances,2023-04-08,291
Pharmacy,2023-01-27,3712
Garden & Outdoor,2023-09-22,2180
Luggage,2023-06-27,4432
Sports,2023-07-06,936
Shoes,2023-02-05,3235
Clothing,2023-12-09,2797
Beauty & Personal Care,2023-10-08,1940
Luggage,2023-03-24,1024
Pet Supplies,2023-07-10,1723
Clothing,2023-04-12,1031
Shoes,2023-04-01,982
Movies & TV,2023-08-23,2316
Beauty & Personal Care,2023-04-29,3475
Furniture,2023-04-07,805
Beauty & Personal Care,2023-09-01,1765
Tools & Hardware,2023-12-26,564
Books,2023-11-05,3422
Food & Beverage,2023-07-31,3720
Sports,2023-06-04,2809
Clothing,2023-06-02,618
Electronics,2023-10-31,3219
Art & Crafts,2023-03-08,365
Home & Garden,2023-05-07,4690
Art & Crafts,2023-06-06,4927
Books,2023-09-27,1765
Books,2023-07-09,4160
Movies & TV,2023-09-23,4820
Music,2023-09-07,3146
Cell Phones,2023-05-02,1441
Sports,2023-08-17,4433
Furniture,2023-04-16,1998
Pharmacy,2023-10-10,3210
Garden & Outdoor,2023-11-19,3392
Clothing,2023-11-29,4072
Art & Crafts,2023-09-22,470
Tools & Hardware,2023-10-07,1326
Luggage,2023-01-14,785
Cell Phones,2023-11-16,3388
Garden & Outdoor,2023-03-14,459
Automotive,2023-10-14,866
Appliances,2023-04-04,4015
Books,2023-03-19,952
Health & Beauty,2023-02-02,520
Travel,2023-07-16,4575
Electronics,2023-11-11,2670
Watches,2023-02-15,2261
Garden & Outdoor,2023-11-17,1965
Home & Garden,2023-04-13,2464
Industrial & Scientific,2023-05-19,1734
Furniture,2023-06-02,4560
Clothing,2023-06-07,4619
Luggage,2023-05-14,3962
Electronics,2023-05-15,2496
Tools & Hardware,2023-04-17,4563
Toys,2023-03-02,272
Clothing,2023-01-13,1587
Books,2023-02-20,976
Tools & Hardware,2023-02-28,1509
Jewelry,2023-07-06,1453
Home & Garden,2023-03-07,4473
Video Games,2023-08-03,4310
Clothing,2023-05-10,3985
Appliances,2023-05-29,1490
Electronics,2023-03-17,574
Automotive,2023-06-04,2093
Home & Garden,2023-03-01,1693
Shoes,2023-03-28,2740
Tools & Hardware,2023-07-06,213
Watches,2023-05-09,4791
Sports,2023-06-19,883
Home & Garden,2023-04-08,2830
Books,2023-03-13,1660
Office Supplies,2023-02-06,2598
Garden & Outdoor,2023-08-19,125
Video Games,2023-10-23,1651
Home & Garden,2023-06-26,1538
Appliances,2023-10-23,3135
Tools & Hardware,2023-04-01,2571
Furniture,2023-07-17,562
Pharmacy,2023-07-29,1294
Luggage,2023-07-07,2618
Jewelry,2023-11-25,1286
Movies & TV,2023-11-03,1510
Movies & TV,2023-11-26,1082
Garden & Outdoor,2023-07-27,4161
Jewelry,2023-06-15,4159
Health & Beauty,2023-02-21,4622
Computer & Tablets,2023-04-30,661
Health & Beauty,2023-04-07,2487
Baby & Kids,2023-04-24,2381
Health & Beauty,2023-10-10,1336
Pet Supplies,2023-05-10,4681
Industrial & Scientific,2023-06-23,2276
Automotive,2023-08-23,2580
Industrial & Scientific,2023-08-30,2574
Computer & Tablets,2023-12-25,1288
Clothing,2023-06-30,429
Automotive,2023-08-07,3328
Watches,2023-02-17,655
Books,2023-05-14,3055
Toys,2023-08-29,1058
Art & Crafts,2023-04-23,626
Books,2023-12-23,1401
Watches,2023-04-23,4235
Electronics,2023-11-13,2777
Watches,2023-08-14,2866
Books,2023-04-21,4576
Clothing,2023-06-07,753
Sports,2023-12-25,3373
Luggage,2023-01-02,733
Shoes,2023-10-30,945
Furniture,2023-09-23,1628
Movies & TV,2023-01-01,4831
Luggage,2023-09-10,1616
Pet Supplies,2023-08-28,3126
Art & Crafts,2023-06-26,3339
Clothing,2023-07-20,704
Sports,2023-05-07,2611
Home & Garden,2023-06-10,2021
Baby & Kids,2023-01-30,3274
Cell Phones,2023-09-15,3851
Video Games,2023-02-13,965
Shoes,2023-03-12,3355
Art & Crafts,2023-04-20,3811
Office Supplies,2023-09-23,4497
Shoes,2023-03-25,1997
Music,2023-09-19,2968
Garden & Outdoor,2023-08-25,3002
Luggage,2023-05-02,4544
Tools & Hardware,2023-08-19,2847
Home & Garden,2023-01-19,1869
Books,2023-07-27,71
Home & Garden,2023-01-15,2725
Books,2023-01-01,4998
Baby & Kids,2023-06-12,3432
Movies & TV,2023-06-12,1732
Books,2023-06-21,1619
Shoes,2023-07-03,3428
Industrial & Scientific,2023-12-16,1161
Baby & Kids,2023-01-11,1450
Electronics,2023-11-20,1930
Toys,2023-03-24,3301
Food & Beverage,2023-01-26,4536
Electronics,2023-06-10,1415
Home & Garden,2023-09-15,1858
Books,2023-07-24,4328
Movies & TV,2023-05-11,1687
Cell Phones,2023-10-13,2077
Appliances,2023-05-14,1983
Travel,2023-09-12,2809
Home & Garden,2023-03-07,463
Garden & Outdoor,2023-01-04,448
Books,2023-12-29,2343
Video Games,2023-05-25,924
Food & Beverage,2023-05-28,1154
Pet Supplies,2023-06-12,3001
Cell Phones,2023-05-11,2240
Watches,2023-05-25,640
Garden & Outdoor,2023-05-07,3623
Office Supplies,2023-06-16,582
Software,2023-10-18,2608
Jewelry,2023-06-09,2344
Pharmacy,2023-05-30,2818
Movies & TV,2023-09-11,3397
Software,2023-08-19,1022
Software,2023-03-06,1126
Automotive,2023-03-21,3087
Industrial & Scientific,2023-06-14,1171
Toys,2023-12-01,1595
Toys,2023-10-07,3682
Baby & Kids,2023-05-14,4615
Pharmacy,2023-08-25,190
Toys,2023-07-08,2494
Industrial & Scientific,2023-08-16,292
Office Supplies,2023-08-15,1532
Office Supplies,2023-04-19,419
Health & Beauty,2023-04-16,4442
Cell Phones,2023-02-19,1457
Furniture,2023-05-14,2194
Books,2023-05-03,1107
Computer & Tablets,2023-06-08,1398
Pet Supplies,2023-09-08,4107
Jewelry,2023-11-26,1767
Travel,2023-11-15,1229
Health & Beauty,2023-01-11,3281
Industrial & Scientific,2023-12-02,3743
Electronics,2023-06-04,2234
Sports,2023-01-08,3251
Electronics,2023-07-08,1075
Computer & Tablets,2023-12-18,4506
Industrial & Scientific,2023-02-27,1788
Musical Instruments,2023-07-05,4843
Baby & Kids,2023-09-10,4938
Beauty & Personal Care,2023-11-18,930
Pharmacy,2023-07-21,658
Books,2023-09-15,780
Industrial & Scientific,2023-07-13,4671
Tools & Hardware,2023-10-26,1150
Baby & Kids,2023-04-08,4784
Tools & Hardware,2023-07-06,1428
Tools & Hardware,2023-06-07,2772
Shoes,2023-12-09,3385
Toys,2023-12-26,3700
Video Games,2023-04-14,2815
Watches,2023-06-24,799
Computer & Tablets,2023-09-29,380
Books,2023-06-28,1283
Shoes,2023-12-06,1403
Home & Garden,2023-10-31,4231
Software,2023-11-23,1742
Beauty & Personal Care,2023-06-13,1488
Clothing,2023-12-22,2332
Luggage,2023-07-15,1217
Books,2023-09-12,989
Furniture,2023-12-23,1390
Automotive,2023-05-30,2798
Video Games,2023-08-24,1604
Movies & TV,2023-01-08,1740
Luggage,2023-05-18,1141
Garden & Outdoor,2023-02-25,3222
Industrial & Scientific,2023-08-12,716
Luggage,2023-09-28,2856
Luggage,2023-08-04,2809
Travel,2023-07-16,1688
Toys,2023-03-04,790
Furniture,2023-08-23,3299
Clothing,2023-06-23,4736
Shoes,2023-08-12,4148
Tools & Hardware,2023-05-09,3558
Movies & TV,2023-01-17,4193
Musical Instruments,2023-06-02,4869
Travel,2023-02-28,2429
Watches,2023-10-04,2820
Travel,2023-02-21,1488
Music,2023-02-04,1856
Appliances,2023-10-02,696
Baby & Kids,2023-10-10,2790
Automotive,2023-12-11,921
Industrial & Scientific,2023-03-09,805
Software,2023-02-03,1018
Cell Phones,2023-02-11,821
Watches,2023-08-28,1760
Travel,2023-02-03,474
Video Games,2023-04-22,705
Sports,2023-01-02,1841
Beauty & Personal Care,2023-02-27,2007
Software,2023-11-11,4513
Health & Beauty,2023-01-11,3432
Computer & Tablets,2023-07-28,315
Appliances,2023-08-07,4361
Software,2023-04-11,2323
Health & Beauty,2023-01-20,3151
Sports,2023-12-20,1349
Beauty & Personal Care,2023-05-02,2124
Pet Supplies,2023-10-30,3982
Software,2023-06-02,2205
Home & Garden,2023-12-15,2534
Jewelry,2023-06-21,3134
Clothing,2023-12-22,145
Beauty & Personal Care,2023-05-03,1881
Clothing,2023-08-14,1273
Books,2023-01-28,1465
Automotive,2023-02-16,589
Sports,2023-05-05,4566
Video Games,2023-09-30,58
Electronics,2023-07-15,4104
Computer & Tablets,2023-05-05,3475
Pharmacy,2023-02-04,3550
Musical Instruments,2023-07-24,3571
Art & Crafts,2023-02-27,1270
Software,2023-04-25,2740
Watches,2023-08-07,208
Movies & TV,2023-06-19,1796
Clothing,2023-01-22,4764
Home & Garden,2023-05-25,1224
Home & Garden,2023-06-17,813
Jewelry,2023-10-08,3434
Jewelry,2023-08-21,4783
Jewelry,2023-04-01,995
Art & Crafts,2023-09-04,1734
Food & Beverage,2023-04-04,4466
Clothing,2023-05-08,1094
Toys,2023-08-20,2431
Movies & TV,2023-03-28,4661
Shoes,2023-05-25,2469
Health & Beauty,2023-01-29,4366
Industrial & Scientific,2023-12-24,2224
Toys,2023-07-10,3336
Software,2023-04-14,4914
Pharmacy,2023-06-11,299
Furniture,2023-12-17,2706
Industrial & Scientific,2023-01-31,2019
Cell Phones,2023-03-22,3926
Books,2023-04-27,2881
Cell Phones,2023-05-17,2413
Watches,2023-11-23,4346
Musical Instruments,2023-03-07,4897
Toys,2023-06-22,4585
Luggage,2023-10-18,2243
Food & Beverage,2023-01-16,4266
Garden & Outdoor,2023-07-03,2565
Beauty & Personal Care,2023-07-02,2528
Jewelry,2023-08-26,1524
Baby & Kids,2023-01-05,4211
Video Games,2023-11-16,1132
Appliances,2023-03-07,2557
Beauty & Personal Care,2023-07-03,3177
Appliances,2023-10-09,4910
Luggage,2023-03-16,1751
Musical Instruments,2023-01-29,998
Musical Instruments,2023-08-20,3578
Industrial & Scientific,2023-01-09,4181
Software,2023-02-16,3106
Art & Crafts,2023-05-20,1496
Software,2023-10-27,3886
Home & Garden,2023-01-12,787
Movies & TV,2023-02-01,4844
Travel,2023-10-14,4825
Food & Beverage,2023-10-08,556
Industrial & Scientific,2023-11-02,2096
Software,2023-08-05,4957
Books,2023-11-29,493
Musical Instruments,2023-05-31,4706
Baby & Kids,2023-08-07,1769
Appliances,2023-05-21,2087
Pet Supplies,2023-07-31,2865
Clothing,2023-09-08,1821
Pharmacy,2023-10-14,1686
Home & Garden,2023-06-13,1847
Shoes,2023-05-26,210
Electronics,2023-02-27,2473
Movies & TV,2023-05-19,4725
Furniture,2023-09-02,4982
Computer & Tablets,2023-07-01,3122
Baby & Kids,2023-10-20,4950
Appliances,2023-08-19,4022
Appliances,2023-12-27,1216
Shoes,2023-08-15,4851
Movies & TV,2023-06-14,2486
Cell Phones,2023-09-16,1050
Jewelry,2023-10-18,4466
Appliances,2023-10-13,909
Toys,2023-04-07,148
Shoes,2023-06-05,4003
Furniture,2023-11-19,4551
Home & Garden,2023-01-31,1764
Sports,2023-12-01,4439
Watches,2023-02-15,2171
Musical Instruments,2023-03-29,2885
Pet Supplies,2023-10-10,4028
Jewelry,2023-01-19,292
Sports,2023-07-28,4747
Clothing,2023-05-09,2615
Musical Instruments,2023-04-14,1699
Movies & TV,2023-08-30,865
Movies & TV,2023-03-26,2779
Art & Crafts,2023-06-24,1921
Movies & TV,2023-11-20,718
Shoes,2023-02-17,1105
Home & Garden,2023-02-10,3815
Clothing,2023-03-23,1730
Home & Garden,2023-05-15,3699
Beauty & Personal Care,2023-10-06,3866
Toys,2023-08-17,337
Office Supplies,2023-08-30,1601
Sports,2023-08-05,3455
Electronics,2023-07-09,4385
Software,2023-05-29,877
Cell Phones,2023-06-25,1949
Video Games,2023-08-22,158
Food & Beverage,2023-04-16,3724
Clothing,2023-08-30,2743
Health & Beauty,2023-10-19,4620
Cell Phones,2023-03-08,1072
Books,2023-09-27,2088
Pharmacy,2023-12-01,3534
Appliances,2023-07-25,4877
Home & Garden,2023-10-02,3489
Office Supplies,2023-07-26,2260
Sports,2023-10-08,1597
Luggage,2023-11-06,922
Luggage,2023-10-29,640
Video Games,2023-01-18,2589
Pet Supplies,2023-07-07,197
Furniture,2023-03-25,444
Baby & Kids,2023-08-07,2524
Baby & Kids,2023-04-04,4701
Food & Beverage,2023-02-14,3641
Automotive,2023-06-27,4609
Clothing,2023-10-29,4215
Industrial & Scientific,2023-02-13,4867
Shoes,2023-08-05,105
Electronics,2023-05-22,4902
Health & Beauty,2023-01-26,695
Clothing,2023-10-17,1429
Luggage,2023-03-05,2218
Video Games,2023-03-14,1369
Musical Instruments,2023-05-26,1831
Health & Beauty,2023-05-27,4134
Food & Beverage,2023-11-19,3963
Automotive,2023-10-31,4161
Watches,2023-06-28,1201
Electronics,2023-10-06,567
Pet Supplies,2023-11-12,4323
Pet Supplies,2023-10-17,2464
Pet Supplies,2023-12-16,3300
Luggage,2023-08-20,2321
Office Supplies,2023-04-03,4770
Toys,2023-07-09,2828
Garden & Outdoor,2023-03-15,3885
Software,2023-03-27,3077
Music,2023-08-18,4028
Jewelry,2023-03-06,3327
Musical Instruments,2023-07-24,1957
Movies & TV,2023-05-10,2208
Books,2023-01-03,2545
Watches,2023-10-26,3314
Music,2023-02-07,741
Garden & Outdoor,2023-03-31,3483
Health & Beauty,2023-03-07,4723
Art & Crafts,2023-04-14,1955
Watches,2023-12-28,4178
Automotive,2023-09-07,1399
Home & Garden,2023-10-24,2598
Health & Beauty,2023-06-26,3214
Electronics,2023-04-20,122
Video Games,2023-11-06,973
Video Games,2023-07-05,4972
Beauty & Personal Care,2023-10-19,4385
Automotive,2023-06-07,4420
Software,2023-07-23,4031
Video Games,2023-10-18,4142
Luggage,2023-01-01,2209
Luggage,2023-08-07,3426
Music,2023-10-23,883
Art & Crafts,2023-01-29,675
Baby & Kids,2023-07-11,3631
Automotive,2023-10-22,3551
Shoes,2023-09-07,2318
Art & Crafts,2023-08-18,1451
Sports,2023-02-05,2976
Toys,2023-01-27,1479
Toys,2023-11-19,1552
Garden & Outdoor,2023-02-09,2849
Shoes,2023-01-23,2382
Books,2023-10-05,2048
Pharmacy,2023-04-01,1916
Musical Instruments,2023-02-04,1498
Software,2023-12-04,2890
Baby & Kids,2023-07-03,3333
Clothing,2023-03-29,4891
Music,2023-06-07,1187
Beauty & Personal Care,2023-11-06,3166
Cell Phones,2023-10-30,1688
Appliances,2023-05-16,4294
Musical Instruments,2023-01-11,4282
Beauty & Personal Care,2023-07-24,344
Health & Beauty,2023-09-13,2388
Appliances,2023-04-21,1566
Pet Supplies,2023-04-12,3756
Books,2023-12-10,4277
Pet Supplies,2023-06-10,4707
Electronics,2023-01-19,4049
Sports,2023-11-15,2286
Jewelry,2023-05-19,869
Toys,2023-01-11,3786
Electronics,2023-01-01,4984
Video Games,2023-05-20,590
Toys,2023-05-22,1106
Beauty & Personal Care,2023-07-10,1717
Home & Garden,2023-12-05,4344
Food & Beverage,2023-08-01,3987
Clothing,2023-04-06,1898
Food & Beverage,2023-11-29,4052
Luggage,2023-06-17,4514
Travel,2023-07-26,3034
Industrial & Scientific,2023-10-09,2500
Clothing,2023-05-04,2887
Video Games,2023-11-29,4297
Music,2023-12-27,2754
Books,2023-03-18,3888
Home & Garden,2023-04-07,3758
Travel,2023-12-14,2420
Movies & TV,2023-05-21,2955
Clothing,2023-01-10,2122
Musical Instruments,2023-05-21,2421
Art & Crafts,2023-05-26,154
Appliances,2023-06-16,1622
Appliances,2023-05-18,1884
Shoes,2023-06-16,1911
Electronics,2023-05-15,2542
Travel,2023-12-25,4530
Home & Garden,2023-01-31,474
Travel,2023-01-21,3900
Cell Phones,2023-10-11,4822
Baby & Kids,2023-12-17,3083
Pharmacy,2023-01-17,264
Sports,2023-03-03,3836
Software,2023-09-16,3641
Musical Instruments,2023-09-16,3975
Industrial & Scientific,2023-10-09,892
Shoes,2023-02-16,3004
Toys,2023-03-04,151
Pet Supplies,2023-07-17,3471
Tools & Hardware,2023-05-09,3799
Pharmacy,2023-10-16,3169
Cell Phones,2023-03-30,4950
Clothing,2023-02-12,999
Food & Beverage,2023-02-14,4674
Cell Phones,2023-11-23,3586
Garden & Outdoor,2023-06-20,670
Baby & Kids,2023-10-09,584
Sports,2023-02-09,1725
Food & Beverage,2023-12-11,1188
Sports,2023-06-29,2742
Furniture,2023-07-20,2809
Pet Supplies,2023-12-28,4094
Furniture,2023-12-19,1698
Books,2023-05-22,4574
Cell Phones,2023-06-19,463
Travel,2023-08-25,487
Books,2023-06-01,4792
Health & Beauty,2023-06-18,3041
Pharmacy,2023-01-25,439
Tools & Hardware,2023-12-29,2577
Electronics,2023-05-30,3768
Software,2023-12-24,4576
Appliances,2023-11-14,1405
Musical Instruments,2023-08-21,2368
Musical Instruments,2023-06-10,4520
Pharmacy,2023-02-17,1468
Automotive,2023-07-08,449
Sports,2023-04-05,4001
Clothing,2023-12-21,4965
Art & Crafts,2023-06-06,1396
Furniture,2023-01-05,3840
Food & Beverage,2023-11-04,1715
Health & Beauty,2023-04-06,1779
Sports,2023-07-27,4487
Software,2023-03-16,4457
Office Supplies,2023-02-13,4995
Software,2023-04-01,603
Computer & Tablets,2023-12-13,3653
Software,2023-01-16,919
Sports,2023-08-01,1824
Luggage,2023-04-04,4233
Pharmacy,2023-09-16,848
Tools & Hardware,2023-01-26,4832
Electronics,2023-08-20,2394
Health & Beauty,2023-05-18,218
Garden & Outdoor,2023-05-11,2920
Garden & Outdoor,2023-07-22,2023
Software,2023-04-18,1523
Electronics,2023-06-22,1364
Industrial & Scientific,2023-01-30,4842
Art & Crafts,2023-11-30,4283
Sports,2023-10-01,4896
Furniture,2023-11-13,448
Appliances,2023-06-12,4634
Video Games,2023-11-21,1547
Luggage,2023-12-19,3299
Pet Supplies,2023-01-12,4276
Clothing,2023-01-15,4040
Music,2023-04-16,3756
Shoes,2023-06-02,3580
Toys,2023-11-06,1907
Watches,2023-11-01,366
Industrial & Scientific,2023-05-17,2376
Shoes,2023-09-17,3515
Baby & Kids,2023-08-06,709
Pharmacy,2023-11-22,3927
Music,2023-05-28,453
Music,2023-11-12,1380
Cell Phones,2023-05-26,2120
Toys,2023-01-17,281
Pet Supplies,2023-11-20,1018
Watches,2023-08-08,1055
Computer & Tablets,2023-07-26,786
Garden & Outdoor,2023-10-09,3863
Appliances,2023-04-27,3145
Cell Phones,2023-01-11,2012
Movies & TV,2023-09-05,3026
Industrial & Scientific,2023-09-03,3371
Tools & Hardware,2023-11-22,3791
Beauty & Personal Care,2023-08-12,1841
Garden & Outdoor,2023-05-13,1966
Pet Supplies,2023-06-08,3389
Clothing,2023-01-25,116
Travel,2023-10-21,2040
Industrial & Scientific,2023-04-27,3219
Home & Garden,2023-02-08,3420
Computer & Tablets,2023-02-07,1351
Garden & Outdoor,2023-12-12,4294
Sports,2023-03-15,238
Jewelry,2023-07-29,571
Office Supplies,2023-02-08,455
Art & Crafts,2023-05-16,1879
Electronics,2023-07-07,4942
Garden & Outdoor,2023-07-11,1937
Tools & Hardware,2023-05-12,3068
Appliances,2023-12-02,861
Luggage,2023-01-09,4533
Pet Supplies,2023-09-08,3093
Travel,2023-11-21,354
Cell Phones,2023-02-21,468
Home & Garden,2023-10-28,2497
Pharmacy,2023-12-31,4364
Video Games,2023-04-22,1492
Sports,2023-06-12,1577
Travel,2023-06-08,4788
Clothing,2023-01-12,4362
Food & Beverage,2023-11-07,4807
Musical Instruments,2023-08-29,808
Beauty & Personal Care,2023-12-22,2487
Furniture,2023-03-29,462
Tools & Hardware,2023-06-18,590
Pet Supplies,2023-05-28,3985
Office Supplies,2023-04-12,1070
Health & Beauty,2023-08-24,3875
Office Supplies,2023-05-20,2830
Furniture,2023-11-23,538
Tools & Hardware,2023-04-26,4500
Watches,2023-12-26,1274
Musical Instruments,2023-06-28,3937
Watches,2023-01-04,2860
Industrial & Scientific,2023-09-14,4656
Luggage,2023-11-11,743
Travel,2023-09-30,3231
Watches,2023-04-20,724
Luggage,2023-07-12,78
Health & Beauty,2023-12-02,661
Software,2023-01-06,2684
Shoes,2023-12-01,4066
Jewelry,2023-01-09,4867
Music,2023-07-27,3441
Cell Phones,2023-10-26,3618
Computer & Tablets,2023-08-20,3240
Jewelry,2023-07-06,3362
Movies & TV,2023-12-24,3627
Computer & Tablets,2023-12-16,2616
Art & Crafts,2023-05-11,1025
Clothing,2023-07-05,3738
Tools & Hardware,2023-08-05,2927
Clothing,2023-07-01,4745
Health & Beauty,2023-07-07,197
Appliances,2023-11-26,2882
Health & Beauty,2023-11-22,1858
Appliances,2023-06-24,4291
Appliances,2023-09-24,3801
Watches,2023-08-23,2514
Clothing,2023-07-28,2369
Clothing,2023-09-15,2141
Toys,2023-03-23,1527
Health & Beauty,2023-04-05,3128
Movies & TV,2023-03-05,2811
Computer & Tablets,2023-10-11,1521
Art & Crafts,2023-02-17,1113
Watches,2023-05-01,2935
Sports,2023-02-06,846
Electronics,2023-03-24,550
Computer & Tablets,2023-12-04,3636
Musical Instruments,2023-02-20,1910
Automotive,2023-10-25,4030
Musical Instruments,2023-07-09,329
Cell Phones,2023-07-02,2801
Computer & Tablets,2023-05-16,4025
Sports,2023-10-08,2084
Electronics,2023-06-27,2745
Clothing,2023-07-18,861
Luggage,2023-09-02,2393
Books,2023-09-30,2547
Garden & Outdoor,2023-10-24,2888
Health & Beauty,2023-09-20,1666
Pet Supplies,2023-10-14,3595
Books,2023-10-11,2794
Sports,2023-07-13,644
Home & Garden,2023-08-24,439
Health & Beauty,2023-02-03,4735
Software,2023-12-12,3665
Software,2023-10-08,2592
Software,2023-10-01,3783
Sports,2023-10-11,632
Cell Phones,2023-01-04,2792
Industrial & Scientific,2023-09-29,3652
Baby & Kids,2023-04-07,3326
Sports,2023-01-11,3393
Luggage,2023-05-24,3220
Baby & Kids,2023-08-10,2936
Clothing,2023-04-14,584
Sports,2023-06-27,1029
Automotive,2023-01-28,394
Watches,2023-02-20,4762
Home & Garden,2023-01-17,3954
Watches,2023-06-28,2084
Food & Beverage,2023-05-04,3412
Office Supplies,2023-07-04,2113
Office Supplies,2023-03-03,3035
Sports,2023-07-18,4328
Travel,2023-06-05,683
Books,2023-06-12,2277
Computer & Tablets,2023-01-13,2780
Watches,2023-08-26,2704
Garden & Outdoor,2023-05-20,1719
Musical Instruments,2023-03-22,3146
Appliances,2023-11-24,3856
Computer & Tablets,2023-10-16,4310
Cell Phones,2023-01-23,895
Computer & Tablets,2023-07-20,3862
Pharmacy,2023-10-29,1739
Pharmacy,2023-07-30,2304
Shoes,2023-04-12,2238
Music,2023-12-25,2822
Cell Phones,2023-03-06,3154
Office Supplies,2023-08-14,1364
Watches,2023-07-17,2923
Movies & TV,2023-05-13,2863
Computer & Tablets,2023-08-12,4975
Jewelry,2023-06-28,3428
Software,2023-10-28,4069
Books,2023-01-08,1784
Shoes,2023-09-30,4191
Computer & Tablets,2023-01-27,3429
Luggage,2023-11-12,3653
Travel,2023-04-06,3120
Sports,2023-04-15,1497
Software,2023-06-01,1364
Beauty & Personal Care,2023-07-15,3887
Computer & Tablets,2023-03-09,3267
Beauty & Personal Care,2023-01-08,4525
Clothing,2023-04-17,1875
Luggage,2023-07-05,1591
Travel,2023-05-29,4039
Travel,2023-10-30,2113
Home & Garden,2023-09-10,2120
Pharmacy,2023-02-22,3573
Home & Garden,2023-09-10,4364
Books,2023-09-10,2353
Art & Crafts,2023-12-16,2665
Beauty & Personal Care,2023-03-19,2106
Electronics,2023-09-13,4773
Software,2023-07-07,3361
Office Supplies,2023-06-20,805
Toys,2023-02-11,1383
Garden & Outdoor,2023-12-25,4079
Music,2023-03-12,4629
Home & Garden,2023-12-31,2134
Clothing,2023-12-08,3891
Toys,2023-08-24,98
Movies & TV,2023-05-12,4422
Industrial & Scientific,2023-10-28,637
Sports,2023-03-03,2899
Clothing,2023-06-27,746
Toys,2023-02-12,4223
Watches,2023-02-24,911
Pharmacy,2023-09-17,4226
Office Supplies,2023-08-22,564
Shoes,2023-02-06,4715
Toys,2023-12-16,901
Industrial & Scientific,2023-10-13,2259
Beauty & Personal Care,2023-12-14,3434
Baby & Kids,2023-08-06,4343
Shoes,2023-10-12,658
Musical Instruments,2023-02-12,950
Jewelry,2023-11-09,3053
Software,2023-01-10,2082
Pharmacy,2023-09-01,372
Music,2023-05-17,1571
Food & Beverage,2023-09-27,2565
Travel,2023-07-02,1959
Beauty & Personal Care,2023-01-10,4361
Art & Crafts,2023-06-17,3450
Video Games,2023-11-11,2230
Clothing,2023-03-17,2526
Watches,2023-10-08,3974
Luggage,2023-01-18,1328
Garden & Outdoor,2023-10-16,361
Office Supplies,2023-11-10,4068
Cell Phones,2023-02-12,4473
Musical Instruments,2023-09-06,4429
Music,2023-05-13,768
Garden & Outdoor,2023-01-08,3553
Pet Supplies,2023-09-19,883
Books,2023-05-04,4491
Art & Crafts,2023-11-05,3363
Electronics,2023-01-11,282
Toys,2023-03-07,547
Travel,2023-11-22,1339
Pet Supplies,2023-04-26,3684
Industrial & Scientific,2023-04-11,3106
Garden & Outdoor,2023-03-11,345
Automotive,2023-11-23,4606
Toys,2023-10-16,3109
Clothing,2023-12-06,4199
Health & Beauty,2023-12-25,1590
Musical Instruments,2023-01-11,531
Watches,2023-12-29,359
Jewelry,2023-04-01,3865
Tools & Hardware,2023-05-16,542
Video Games,2023-08-05,4675
Food & Beverage,2023-08-04,4108
Beauty & Personal Care,2023-10-18,3350
Electronics,2023-06-24,579
Toys,2023-11-08,1336
Automotive,2023-12-17,3464
Art & Crafts,2023-02-04,1553
Video Games,2023-07-03,1419
Pet Supplies,2023-05-02,3617
Toys,2023-09-17,352
Clothing,2023-06-24,2508
Automotive,2023-04-02,4752
Clothing,2023-02-26,819
Beauty & Personal Care,2023-02-21,1971
Shoes,2023-04-09,4015
Movies & TV,2023-12-03,4304
Books,2023-06-29,2374
Electronics,2023-06-23,3025
Software,2023-07-20,3470
Sports,2023-05-24,621
Furniture,2023-07-15,3982
Shoes,2023-01-05,163
Computer & Tablets,2023-11-24,55
Pharmacy,2023-11-11,369
Movies & TV,2023-05-24,227
Software,2023-10-17,1307
Industrial & Scientific,2023-12-27,933
Home & Garden,2023-05-20,374
Cell Phones,2023-05-26,2526
Baby & Kids,2023-07-25,4019
Health & Beauty,2023-11-15,1981
Pet Supplies,2023-06-23,2882
Luggage,2023-04-21,430
Garden & Outdoor,2023-06-06,1379
Shoes,2023-10-23,2291
Toys,2023-09-25,2723
Pet Supplies,2023-01-10,3352
Movies & TV,2023-01-05,4070
Shoes,2023-05-01,2263
Luggage,2023-08-24,2995
Pet Supplies,2023-03-11,4103
Art & Crafts,2023-11-18,1164
Movies & TV,2023-09-26,2696
Video Games,2023-09-13,4650
Food & Beverage,2023-02-16,1523
Books,2023-04-25,4516
Home & Garden,2023-10-16,1146
Clothing,2023-07-10,2980
Luggage,2023-11-27,3663
Furniture,2023-06-16,4403
Travel,2023-01-14,686
